Shop,"GradientBoosting (FE, pooled)",LSTM (pooled + cal + shop),Moving Average (4),Naive (last),Prophet (weekly+yearly),"Random Forest (FE, pooled)","SARIMA(1,1,1)x(1,1,1,52)","SVR (FE, pooled)"
901 - Gikomba,814103.8813900977,1015412.5508889648,771021.0877733316,1237953.6740999196,1077468.7242166398,734659.5461298712,1236000.088428143,1028489.6191340869
904 - Kericho,460483.42755475576,504484.6444600164,518757.7217275484,778458.6512444097,489519.13703355886,443788.93775071483,614078.9040485414,548193.9174189214
904.5 Meru WS,383491.2951468381,486778.89596377074,408373.3159766905,554100.4076062256,445413.4956202329,384386.0900590681,596421.3340283876,454534.3252515472
905 - Eldoret,677361.9798819082,594560.5984530544,624039.9782667535,900621.4956256741,580966.5245388465,623047.0542323178,755467.8871775612,749549.2009416005
906 - Kisii,323678.03125869296,322245.5932292172,315230.43138396705,492009.03498347296,412492.9556394636,299952.8310332341,381581.60096990626,384636.1408172834
907-Kisumu WS,504861.60715404886,519879.5031339926,521220.74311094993,796178.4817412194,491074.5640253651,482666.5073810021,587100.0013767123,619275.5298178436
910 - Kitale,329804.68875260005,370097.9010472294,356102.8785181368,516716.52077743155,446590.80607468076,297691.3233770906,504505.19214220723,481225.5405577128
913 -Kakamega WS,246776.34167676006,312813.23206372577,356610.7200214512,436577.29686383205,309172.0032432594,282050.1383664669,368565.56523989333,448401.81734215206
914-EMBU WS,133279.79470643206,146126.08374666562,136971.41803466986,165989.79355385498,223564.72407046493,142999.2670515507,161236.11032590995,255395.26113226413
915-NANYUKI WS,362483.9724842827,319512.80111789075,346191.542267793,302285.9246954705,341004.0226037006,362454.73440029734,335848.216577729,347703.895806654
99 Warehouse,4308664.516808518,4135485.0898000738,4083277.5349371727,7029060.078538055,4372439.635652121,4010803.3970012483,4250062.663263259,4492786.556632579
